LocationID,BPHIGH,CSMOKING,DIABETES,OBESITY
01001020100,41.4,15.6,13.3,39.4
01001020200,45.9,16.7,15.8,44.7
01001020300,42.9,16.1,13.9,40.3
01001020400,42.4,12.9,12.8,36.9
01001020501,37.2,10.0,10.2,34.7
01001020502,34.9,11.7,10.0,38.2
01001020503,39.3,12.7,11.8,38.1
01001020600,41.8,15.7,13.5,40.7
01001020700,42.3,17.2,14.0,42.6
01001020801,41.4,13.8,12.8,38.4
01001020803,45.7,20.3,16.4,44.2
01001020804,33.6,9.3,8.9,34.6
01001020805,39.0,12.9,11.1,36.9
01001020901,38.9,16.0,11.8,38.9
01001020902,41.9,14.6,13.1,39.4
01001021000,46.3,20.0,16.4,43.7
01001021100,54.3,21.3,22.0,49.1
01003010100,49.8,19.2,17.5,40.1
01003010200,42.6,15.6,13.1,36.3
01003010300,44.9,15.2,14.5,37.3
01003010400,46.0,19.9,15.6,38.6
01003010500,45.0,16.3,14.4,37.2
01003010600,55.6,26.8,23.7,51.2
01003010704,38.1,10.2,10.4,32.5
01003010706,42.0,10.6,11.9,32.4
01003010707,39.1,9.0,10.3,30.4
01003010708,37.1,12.5,10.4,34.6
01003010709,39.0,9.7,10.6,32.9
01003010710,39.2,11.1,11.2,34.5
01003010711,38.3,11.7,10.8,33.7
01003010800,43.1,10.6,12.8,33.7
01003010903,42.5,16.6,13.2,38.9
01003010904,42.7,15.1,13.2,35.9
01003010906,46.0,19.6,15.8,39.4
01003010907,39.9,12.7,11.6,34.4
01003010908,37.7,14.9,11.1,36.0
01003011000,46.5,18.6,16.0,38.8
01003011102,40.1,11.2,11.5,33.6
01003011103,42.2,11.5,12.3,34.7
01003011104,44.5,11.1,13.0,32.9
01003011201,46.6,9.5,13.4,31.6
01003011202,46.3,9.9,13.7,33.0
01003011300,45.3,10.9,13.4,33.2
01003011409,42.4,13.8,13.0,36.2
01003011410,46.2,14.4,14.9,36.5
01003011411,44.7,15.5,14.8,37.5
01003011412,41.2,12.2,12.1,34.4
01003011413,42.8,10.6,12.3,32.1
01003011414,42.7,9.9,11.7,31.7
01003011415,47.5,7.9,13.2,30.6
01003011416,47.8,9.7,14.1,32.9
01003011417,38.8,10.6,10.6,32.8
01003011418,43.1,13.1,12.7,34.5
01003011419,48.5,11.4,14.8,33.8
01003011501,47.4,13.7,15.2,35.9
01003011503,43.9,14.2,14.0,36.2
01003011504,46.4,12.1,14.4,34.3
01003011601,45.3,16.5,14.7,37.1
01003011603,53.2,13.0,17.3,35.1
01003011604,51.9,11.4,15.9,32.8
01005950100,52.2,19.2,21.0,46.2
01005950200,49.8,21.4,18.6,48.3
01005950300,55.8,19.2,23.3,47.7
01005950400,50.0,24.6,19.8,49.0
01005950500,47.2,16.7,16.7,41.3
01005950600,49.1,21.4,19.4,47.6
01005950700,52.6,16.4,20.9,45.5
